run,obs_timestep,server_rtc_enabled,server_rtc_real_delay,current_p,server_first_p,server_end_p,server_max_p,image_variant,offline_first_mean,offline_end_mean,offline_max_mean,delta_end_server_minus_offline,delta_first_server_minus_offline,offline_end_minus_current_p,server_end_minus_current_p
recorded_obs-0629-01,0,True,7.0,0.0,-0.005321710127393502,0.018904587576193295,0.09457109203425905,saved_rgb,0.00027091036466806145,0.04175702517517976,0.1598543842305527,-0.022852437598986468,-0.005592620492061564,0.04175702517517976,0.018904587576193295
recorded_obs-0629-01,0,True,7.0,0.0,-0.005321710127393502,0.018904587576193295,0.09457109203425905,server_jpeg_bgr_q90,-0.0016052050424631918,0.022902898543543347,0.11068209210856055,-0.003998310967350052,-0.0037165050849303103,0.022902898543543347,0.018904587576193295
recorded_obs-0629-01,13,True,3.0,0.02903988450662315,0.028102091973770383,0.06826129865946706,0.10989892674985192,<not_replayed>,,,,,,,
recorded_obs-0629-01,17,True,3.0,0.03385348866913742,-0.009563377045062476,0.12435638493064276,0.12435638493064276,<not_replayed>,,,,,,,
recorded_obs-0629-01,32,True,3.0,0.04284627701372838,-0.00235472777827766,0.10627261126593412,0.11349721951345855,<not_replayed>,,,,,,,
recorded_obs-0629-01,34,True,3.0,0.04737479216031866,0.04951261391776177,0.14322753361727114,0.17274658334984014,<not_replayed>,,,,,,,
recorded_obs-0629-01,49,True,3.0,0.09560780949049413,0.10381306943714166,0.37844319583994435,0.3988687046943438,saved_rgb,0.0838000767555714,0.37001656888474554,0.4202353918562469,0.008426626955198802,0.020012992681570266,0.2744087593942514,0.2828353863494502
recorded_obs-0629-01,49,True,3.0,0.09560780949049413,0.10381306943714166,0.37844319583994435,0.3988687046943438,server_jpeg_bgr_q90,0.0829162226473644,0.2828427379183124,0.3369919899243288,0.09560045792163196,0.020896846789777268,0.18723492842781825,0.2828353863494502
recorded_obs-0629-01,51,True,3.0,0.06733888555222572,0.07575453496171893,0.10730856397815275,0.1529858287689987,<not_replayed>,,,,,,,
recorded_obs-0629-01,66,True,3.0,0.11858095536642346,0.09403666288809015,0.8098360705208275,0.8098360705208275,saved_rgb,0.11060651070469177,0.6857879098373101,0.6973514020444601,0.12404816068351743,-0.01656984781660162,0.5672069544708866,0.6912551151544041
