run,policy,obs_timestep,current_p,image_variant,ablation,p_first_mean,p_first_std,p_end_mean,p_end_std,p_max_mean,first_dist_current_mean,chunk_step_mean,n,end_minus_current_p,first_minus_current_p
recorded_obs-0629-01,new_latest,0,0.0,saved_rgb,current_image_current_state,0.00027091036466806145,0.015090118817023402,0.04175702517517976,0.025817976706527364,0.1598543842305527,4.825847922348594,3.44540354013443,20,0.04175702517517976,0.00027091036466806145
recorded_obs-0629-01,new_latest,0,0.0,saved_rgb,current_image_start_state,0.00027091036466806145,0.015090118817023402,0.04175702517517976,0.025817976706527364,0.1598543842305527,4.825847922348594,3.44540354013443,20,0.04175702517517976,0.00027091036466806145
recorded_obs-0629-01,new_latest,0,0.0,saved_rgb,start_image_current_state,0.00027091036466806145,0.015090118817023402,0.04175702517517976,0.025817976706527364,0.1598543842305527,4.825847922348594,3.44540354013443,20,0.04175702517517976,0.00027091036466806145
recorded_obs-0629-01,new_latest,0,0.0,saved_rgb,start_image_start_state,0.00027091036466806145,0.015090118817023402,0.04175702517517976,0.025817976706527364,0.1598543842305527,4.825847922348594,3.44540354013443,20,0.04175702517517976,0.00027091036466806145
recorded_obs-0629-01,new_latest,0,0.0,server_jpeg_bgr_q90,current_image_current_state,-0.0016052050424631918,0.01433587440792151,0.022902898543543347,0.02243774996686144,0.11068209210856055,4.939157699947079,2.9552656412124634,20,0.022902898543543347,-0.0016052050424631918
recorded_obs-0629-01,new_latest,0,0.0,server_jpeg_bgr_q90,current_image_start_state,-0.0016052050424631918,0.01433587440792151,0.022902898543543347,0.02243774996686144,0.11068209210856055,4.939157699947079,2.9552656412124634,20,0.022902898543543347,-0.0016052050424631918
recorded_obs-0629-01,new_latest,0,0.0,server_jpeg_bgr_q90,start_image_current_state,-0.0016052050424631918,0.01433587440792151,0.022902898543543347,0.02243774996686144,0.11068209210856055,4.939157699947079,2.9552656412124634,20,0.022902898543543347,-0.0016052050424631918
recorded_obs-0629-01,new_latest,0,0.0,server_jpeg_bgr_q90,start_image_start_state,-0.0016052050424631918,0.01433587440792151,0.022902898543543347,0.02243774996686144,0.11068209210856055,4.939157699947079,2.9552656412124634,20,0.022902898543543347,-0.0016052050424631918
recorded_obs-0629-01,new_latest,49,0.09560780949049413,saved_rgb,current_image_current_state,0.0838000767555714,0.022266667176081237,0.37001656888474554,0.22610863468367623,0.4202353918562469,6.23419152770988,4.865580677986145,20,0.2744087593942514,-0.011807732734922735
recorded_obs-0629-01,new_latest,49,0.09560780949049413,saved_rgb,current_image_start_state,-0.004277190252697762,0.015822571143298686,0.03563147938380053,0.027925913574326867,0.16345599306954442,24.780721442712554,3.231980299949646,20,-0.05997633010669361,-0.0998849997431919
recorded_obs-0629-01,new_latest,49,0.09560780949049413,saved_rgb,start_image_current_state,0.08876945703750075,0.021785008436819582,0.32580719647145207,0.19965799638648868,0.4007662424218005,5.470765068002089,4.7025192975997925,20,0.23019938698095793,-0.006838352452993385
recorded_obs-0629-01,new_latest,49,0.09560780949049413,saved_rgb,start_image_start_state,0.00027091036466806145,0.015090118817023402,0.04175702517517976,0.025817976706527364,0.1598543842305527,23.916312642269027,3.44540354013443,20,-0.05385078431531437,-0.09533689912582607
recorded_obs-0629-01,new_latest,49,0.09560780949049413,server_jpeg_bgr_q90,current_image_current_state,0.0829162226473644,0.022262073189246008,0.2828427379183124,0.19128588239944574,0.3369919899243288,6.451205199555838,4.5043765783309935,20,0.18723492842781825,-0.012691586843129737
recorded_obs-0629-01,new_latest,49,0.09560780949049413,server_jpeg_bgr_q90,current_image_start_state,-0.004051798418835651,0.015195054128304518,0.02536883796482332,0.024954253751545818,0.12731747522110967,24.609627060962403,2.8281989991664886,20,-0.07023897152567081,-0.09965960790932979
recorded_obs-0629-01,new_latest,49,0.09560780949049413,server_jpeg_bgr_q90,start_image_current_state,0.0855180202433509,0.02126398904598717,0.18347793242177698,0.09771018688104524,0.26510981219091423,5.723942834190057,4.1201553583145145,20,0.08787012293128285,-0.010089789247143238
recorded_obs-0629-01,new_latest,49,0.09560780949049413,server_jpeg_bgr_q90,start_image_start_state,-0.0016052050424631918,0.01433587440792151,0.022902898543543347,0.02243774996686144,0.11068209210856055,24.15364645987859,2.9552656412124634,20,-0.07270491094695078,-0.09721301453295733
recorded_obs-0629-01,new_latest,66,0.11858095536642346,saved_rgb,current_image_current_state,0.11060651070469177,0.02513902340471798,0.6857879098373101,0.18360355946473544,0.6973514020444601,5.773120068961861,5.096386790275574,20,0.5672069544708866,-0.007974444661731694
recorded_obs-0629-01,new_latest,66,0.11858095536642346,saved_rgb,current_image_start_state,-0.002281420181367168,0.015591827889351382,0.03977962400023162,0.02843636582324753,0.15894323728032717,23.764256608252836,3.145619034767151,20,-0.07880133136619184,-0.12086237554779063
recorded_obs-0629-01,new_latest,66,0.11858095536642346,saved_rgb,start_image_current_state,0.11406141074237305,0.024274247230011006,0.49709759524327063,0.25968707276148534,0.5756508523231878,5.204754379014092,4.835753917694092,20,0.37851663987684714,-0.004519544624050409
recorded_obs-0629-01,new_latest,66,0.11858095536642346,saved_rgb,start_image_start_state,0.00027091036466806145,0.015090118817023402,0.04175702517517976,0.025817976706527364,0.1598543842305527,23.199633485065416,3.44540354013443,20,-0.0768239301912437,-0.1183100450017554
recorded_obs-0629-01,new_latest,66,0.11858095536642346,server_jpeg_bgr_q90,current_image_current_state,0.10421977878534927,0.023716946610337415,0.35026571346031155,0.2368593129724199,0.40129554356500713,6.19951560055039,4.558371448516846,20,0.23168475809388808,-0.014361176581074192
recorded_obs-0629-01,new_latest,66,0.11858095536642346,server_jpeg_bgr_q90,current_image_start_state,-0.0038056771608415176,0.014100525520311328,0.021651545888824786,0.022847059972186837,0.1046532298444883,24.054129726426766,2.6313737988471986,20,-0.09692940947759868,-0.12238663252726498
recorded_obs-0629-01,new_latest,66,0.11858095536642346,server_jpeg_bgr_q90,start_image_current_state,0.10973574874756833,0.023911086304144225,0.2988914508831691,0.20462124868639645,0.3949918132288498,5.517684598522672,4.458451676368713,20,0.18031049551674563,-0.008845206618855128
recorded_obs-0629-01,new_latest,66,0.11858095536642346,server_jpeg_bgr_q90,start_image_start_state,-0.0016052050424631918,0.01433587440792151,0.022902898543543347,0.02243774996686144,0.11068209210856055,23.46229845424454,2.9552656412124634,20,-0.09567805682288011,-0.12018616040888666
recorded_obs-0629-01,new_latest,119,0.1576133953373097,saved_rgb,current_image_current_state,0.18471266004994832,0.02900110708624541,0.7136572607560152,0.15282945465339953,0.7619074359557713,6.830566200606017,4.473241174221039,20,0.5560438654187055,0.027099264712638627
recorded_obs-0629-01,new_latest,119,0.1576133953373097,saved_rgb,current_image_start_state,-0.0009268153700814303,0.018528304060605603,0.06527844610141097,0.030911959139661747,0.2304045354602219,23.271417425388883,3.794199013710022,20,-0.09233494923589873,-0.15854021070739113
recorded_obs-0629-01,new_latest,119,0.1576133953373097,saved_rgb,start_image_current_state,0.19071495940442604,0.02609669062853391,0.7821973296586769,0.11153686476407348,0.8008681547635674,6.903846093084441,4.487078166007995,20,0.6245839343213673,0.03310156406711634
recorded_obs-0629-01,new_latest,119,0.1576133953373097,saved_rgb,start_image_start_state,0.00027091036466806145,0.015090118817023402,0.04175702517517976,0.025817976706527364,0.1598543842305527,23.121744270019935,3.44540354013443,20,-0.11585637016212993,-0.15734248497264164
recorded_obs-0629-01,new_latest,119,0.1576133953373097,server_jpeg_bgr_q90,current_image_current_state,0.18516940519203695,0.02922111360254938,0.6675483105640232,0.166668363180472,0.7386450602670455,6.884738684946994,4.444733130931854,20,0.5099349152267135,0.027556009854727254
recorded_obs-0629-01,new_latest,119,0.1576133953373097,server_jpeg_bgr_q90,current_image_start_state,0.0001918012777635025,0.018715250579558054,0.06947797354995487,0.03129884673206724,0.24097510234844285,23.127941114711792,3.8726908445358275,20,-0.08813542178735483,-0.1574215940595462
recorded_obs-0629-01,new_latest,119,0.1576133953373097,server_jpeg_bgr_q90,start_image_current_state,0.1834141841132515,0.02803217907976724,0.6441061609679112,0.2319653419472437,0.735513955674979,6.426003503947028,4.619457626342774,20,0.4864927656306015,0.025800788775941802
recorded_obs-0629-01,new_latest,119,0.1576133953373097,server_jpeg_bgr_q90,start_image_start_state,-0.0016052050424631918,0.01433587440792151,0.022902898543543347,0.02243774996686144,0.11068209210856055,23.38634500098312,2.9552656412124634,20,-0.13471049679376634,-0.1592186003797729
recorded_obs-0629-01,new_latest,134,0.4443086715533535,saved_rgb,current_image_current_state,0.4423150326369464,0.04123918216096866,0.27571304448718364,0.16450438197078926,0.6236624263336978,6.269704331530995,4.438227105140686,20,-0.16859562706616987,-0.0019936389164071366
